campaign_id,campaign_name,cell_id,manifest_path,workload_id,plan_id,run_id,replicate_idx,status,planner_budget,repeat_count_hint,measurement_repeats,autotune,reuse_cache,execution_source,graph_mode,ttfr_s,steady_iter_ms,wall_s,gpu_seconds,predicted_ttfr_s,predicted_iter_ms,predicted_gpu_seconds,planner_share_pct,launch_share_pct,contract_share_pct,profile_candidate_nsys,profile_candidate_ncu
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ceea3d2edf761575,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_b97efcf74c6f1ba3,run_820b28d6311a8c34,2,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,3.076834,11.219884,3.155373,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_dac6b50d611e8399,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_098bd6312fb74e89,run_522602b1bacce818,0,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.155373,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_dac6b50d611e8399,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_098bd6312fb74e89,run_3cee12395525305f,1,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.155373,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_dac6b50d611e8399,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_098bd6312fb74e89,run_133a4b469a27596d,2,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.155373,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_e9141e68c85a4530,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_4e0bc6d06357760f,run_e4b8d643e72ff721,0,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.042618091,0.266118,0.044478354,0.044478354,3.076834,11.219884,3.155373,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_e9141e68c85a4530,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_4e0bc6d06357760f,run_b33942b3b1efb5b4,1,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.045318363,0.323306,0.047412782,0.047412782,3.076834,11.219884,3.155373,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_e9141e68c85a4530,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_4e0bc6d06357760f,run_5002c60d61e64568,2,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.051281592,0.27202,0.053224986,0.053224986,3.076834,11.219884,3.155373,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_f51c2dd181706085,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_aba637ae8beeb019,plan_d6b9c66ca003beb0,run_b8ca8f64976aa795,0,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.014580166,0.131331,0.015682669,0.015682669,2.642871,8.782079,2.915115,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_f51c2dd181706085,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_aba637ae8beeb019,plan_d6b9c66ca003beb0,run_886c0ee51ae9a6ea,1,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.014276789,0.131719,0.015344341,0.015344341,2.642871,8.782079,2.915115,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_f51c2dd181706085,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_aba637ae8beeb019,plan_d6b9c66ca003beb0,run_ed217acf4c73eefb,2,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.014097497,0.144113,0.015198083,0.015198083,2.642871,8.782079,2.915115,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_fe364189bc9b7dd4,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_fe31e27fa7f4ef9a,run_e65e9a48931a81bf,0,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.051172833,0.26111,0.053041991,0.053041991,3.076834,11.219884,3.42465,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_fe364189bc9b7dd4,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_fe31e27fa7f4ef9a,run_9fd1abf8fb76aad0,1,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.05101657,0.269393,0.052979399,0.052979399,3.076834,11.219884,3.42465,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_fe364189bc9b7dd4,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_fe31e27fa7f4ef9a,run_c0f3b9c95309c156,2,success,balanced,32,3,True,True,cuquantum_tensornet_gpu,off,0.052043471,0.26319,0.053975093,0.053975093,3.076834,11.219884,3.42465,,,,True,True
