manifest_path,manifest_name,mode,session_label,sequence_name,request_ordinal,cli_wall_s,session_total_s,driver_total_s,outer_driver_overhead_s,execute_plan_bundle_s,worker_startup_s,worker_request_dispatch_s,worker_execute_s,worker_reply_s,execution_wall_s,import_real_stack_s,network_build_s,selected_plan_id,selection_source,correctness_status,execution_mode,worker_session_id,worker_warm,worker_request_index,persistent_used,fallback_used,bundle_hit
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,persistent_warm_bundle,01_real_dense_ring6_amplitude.rep4,,2,0.712513897,0.712513897,0.290331796,0.202418176,0.093515531,1.029665135,0.000271482,0.090405304,3.226e-06,0.08791362,0.0,0.01857497,plan_9681ead327789de4,plan_bundle_reuse,pass,persistent_executor,wrk_447c5a463e50b507,True,2,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,fresh,,,,2.068863906,2.068863906,1.329942241,1.278963534,0.052955217,0.0,0.0,0.0,0.0,0.050978707,9.421e-06,0.006467715,plan_1e9bb43cfe444bbb,plan_rank,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,plan_json,,,,2.209040624,2.209040624,1.52534262,1.473148749,0.054158907,0.0,0.0,0.0,0.0,0.052193871,2.3013e-05,0.006552629,plan_1e9bb43cfe444bbb,plan_override,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,one_shot_bundle,,,,2.279920655,2.279920655,1.527768249,1.12686679,1.358189393,0.0,0.0,0.0,0.0,0.400901459,0.955279526,0.110476257,plan_1e9bb43cfe444bbb,plan_bundle_reuse,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,persistent_cold_bundle,06_star_graph_phase_amplitude_heldout_low.rep0,,1,0.803967071,1.846583963,0.403574609,0.15295046,0.256577827,1.042616892,0.000510329,0.253343129,2.691e-06,0.250624149,0.0,0.175384769,plan_1e9bb43cfe444bbb,plan_bundle_reuse,pass,persistent_executor,wrk_4a0f1a73798114ba,False,1,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,persistent_warm_bundle,06_star_graph_phase_amplitude_heldout_low.rep0,,2,0.680495076,0.680495076,0.292457569,0.196180494,0.102350758,1.042616892,0.000348626,0.099013662,3.924e-06,0.096277075,0.0,0.019414455,plan_1e9bb43cfe444bbb,plan_bundle_reuse,pass,persistent_executor,wrk_4a0f1a73798114ba,True,2,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,fresh,,,,2.362354531,2.362354531,1.601257324,1.549857885,0.053437565,0.0,0.0,0.0,0.0,0.051399439,8.717e-06,0.006226753,plan_1e9bb43cfe444bbb,plan_rank,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,plan_json,,,,2.058011009,2.058011009,1.334900709,1.283585002,0.053185297,0.0,0.0,0.0,0.0,0.051315707,1.0117e-05,0.00632086,plan_1e9bb43cfe444bbb,plan_override,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,one_shot_bundle,,,,2.099099588,2.099099588,1.394239915,1.089412709,1.274075485,0.0,0.0,0.0,0.0,0.304827206,0.967221607,0.110895839,plan_1e9bb43cfe444bbb,plan_bundle_reuse,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/06_star_graph_phase_amplitude_heldout_low.yaml,06_star_graph_phase_amplitude_heldout_low.yaml,persistent_cold_bundle,06_star_graph_phase_amplitude_heldout_low.rep1,,1,0.789582916,1.968787346,0.398473399,0.194348266,0.208933818,1.17920443,0.000197403,0.206563076,3.253e-06,0.204125133,0.0,0.137313591,plan_1e9bb43cfe444bbb,plan_bundle_reuse,pass,persistent_executor,wrk_7a5b8420701f7d60,False,1,True,False,True
